	Query	RankRes	RerankRes	Tweet	User	Date	Hashtags	Cluster	TopicRichness	Words
10	test	26	11	The long lines outside the test centers this weekend indicate that many people are ignoring this -- a negative test… https://t.co/0EVQRbDFJ6	jandev	Sun Nov 22 11:23:48 +0000 2020	[]	0.0	0.0005450652876380173	long line outsid test center weekend indic mani peopl ignor neg test
11	test	48	12	Frequent, rapid testing could cripple COVID-19 within weeks, study shows: Research shows test turnaround-time, freq… https://t.co/nMUcNz8S4D	tomhathaway01	Sun Nov 22 11:18:36 +0000 2020	[]	0.0	0.0005231336625585913	frequent rapid test could crippl covid19 within week studi show research show test turnaroundtim freq
12	test	98	13	"I love that song by COVID House ""4 Tests in just 1 Day"""	MadamCurious	Sun Nov 22 11:16:53 +0000 2020	[]	0.0	0.00048286459496159036	love song covid hous 4 test 1 day
13	test	22	14	The COVID-19 RT-PCR Test: How to Mislead All Humanity. Using a “Test” To Lock Down Society https://t.co/mv7b3lLXYg via @grtvnews	nk2008	Sun Nov 22 11:07:07 +0000 2020	[]	0.0	0.00047462177249001927	covid19 rtpcr test mislead human use test lock societi via grtvnew
14	test	28	15	@davidgmac9 @fionamflanagan1 Tested? It takes at least 15 years of testing for a vaccine to be presumed safe. You c… https://t.co/Jo19kgvBxn	NolullabyJohn	Sun Nov 22 11:01:18 +0000 2020	[]	0.0	0.0004692717228146852	davidgmac9 fionamflanagan1 test take least 15 year test vaccin presum safe c
15	test	43	16	A total of 17 teachers &amp; teaching staff test #COVID19 positive out of 5,671 samples tested in the rural area of Pun… https://t.co/LDBuZpqcjM	ConnectGujarat	Sun Nov 22 11:23:17 +0000 2020	['COVID19']	0.0	0.00036611396600012695	total 17 teacher amp teach staff test covid19 posit 5671 sampl test rural area pun
16	test	67	17	"@ZDFheute COVID TESTING FRAUD UNCOVERED - The Highwire
https://t.co/9BCJxtgYSC"	AndreaKhne1	Sun Nov 22 11:26:43 +0000 2020	[]	0.0	0.000362142840752674	zdfheut covid test fraud uncov highwir
17	test	27	18	So why would they pay billions to test so many people for a common cold coronavirus ? Are the tests even real ? Or… https://t.co/kzuLJmUNzR	YamaNiyamaSatya	Sun Nov 22 11:20:37 +0000 2020	[]	2.0	0.00033979092324205634	would pay billion test mani peopl common cold coronaviru test even real
18	test	19	19	BOMBSHELLLL! DO NOT GET TESTED FOR COVID. PCR TESTS ARE a TOTAL FRAUD. 100% PROOF | jmviverlivre https://t.co/3GLvykjNKr	oscar226622	Sun Nov 22 11:09:31 +0000 2020	[]	0.0	0.0002475296564257298	bombshelll get test covid pcr test total fraud 100 proof jmviverlivr
19	test	52	20	All going from Delhi to Noida to be tested everyday?!	sangeetasanghvi	Sun Nov 22 11:24:26 +0000 2020	[]	0.0	0.00024470897531631084	go delhi noida test everyday
0	coronavirus	60	1	"Chiche ?🎈🎈🎈
How We Can Stop the Spread of Coronavirus by Christmas https://t.co/ujshFUo6XH"	DescroixV	Sun Nov 22 10:54:41 +0000 2020	[]	2.0	0.007509361372570054	chich stop spread coronaviru christma
1	coronavirus	29	2	@le_Parisien Coronavirus is a biological weapon used by Mongolia around the world! Coronavirus used by Mongolia in my home!	Rose80222065	Sun Nov 22 11:26:15 +0000 2020	[]	0.0	0.004016447776418858	le_parisien coronaviru biolog weapon use mongolia around world coronaviru use mongolia home
2	coronavirus	92	3	New York City Schools to Close Again Due to the Coronavirus https://t.co/QHzLfxSD8J	views2day	Sun Nov 22 11:24:33 +0000 2020	[]	0.0	0.0034219491325422273	new york citi school close due coronaviru
3	coronavirus	59	4	Petition: Repeal the Coronavirus Act 2020 https://t.co/sFzHzRg4RG	Debby39325443	Sun Nov 22 10:54:47 +0000 2020	[]	0.0	0.0031658547186272376	petit repeal coronaviru act 2020
4	coronavirus	61	5	Lifting sanctions on Syria in coronavirus period necessary,https://t.co/iShdrf5e1a	Occasion2B	Sun Nov 22 11:25:57 +0000 2020	[]	0.0	0.001919422798387963	lift sanction syria coronaviru period necessari
5	coronavirus	32	6	@guardian Coronavirus is a biological weapon used by Mongolia around the world! Coronavirus used by Mongolia in my home!	Rose80222065	Sun Nov 22 11:24:58 +0000 2020	[]	0.0	0.0015829545646301104	guardian coronaviru biolog weapon use mongolia around world coronaviru use mongolia home
6	coronavirus	5	7	Can this be our future now? #coronavirus #vaccine	the_nick_nick	Sun Nov 22 11:24:20 +0000 2020	['coronavirus', 'vaccine']	0.0	0.001573268721501642	futur coronaviru vaccin
7	coronavirus	33	8	"Global #COVID19 update from @guardian 🌍

#coronavirus

https://t.co/WC8ooNGCSj https://t.co/uzKn8yLz8l"	One_Health_In	Sun Nov 22 11:27:00 +0000 2020	['COVID19', 'coronavirus']	0.0	0.0014895472780613488	global covid19 updat guardian coronaviru
8	coronavirus	93	9	#Guinea - Coronavirus Update (22/11 10:00 UTC) #Health https://t.co/lSlAA4s7dY https://t.co/gvOroiWEpR	riskmap_	Sun Nov 22 11:24:03 +0000 2020	['Guinea', 'Health']	0.0	0.00138762616202558	guinea coronaviru updat 2211 1000 utc health
9	coronavirus	85	10	"Brazil registers 376 coronavirus deaths on Saturday
https://t.co/wJHNHuilku https://t.co/gWtSs6lfcy"	yenisafakEN	Sun Nov 22 11:00:01 +0000 2020	[]	0.0	0.0009544367730742138	brazil regist 376 coronaviru death saturday
10	coronavirus	6	11	"Australian man’s ‘lie’ caused state coronavirus lockdown 

READ MORE: https://t.co/BYBdwIp9N7

#cdc #coronavirus… https://t.co/CNOWLBEJrK"	IAM__Network	Sun Nov 22 11:20:40 +0000 2020	['cdc', 'coronavirus']	0.0	0.000910619466827302	australian man lie caus state coronaviru lockdown read cdc coronaviru
11	coronavirus	31	12	@thehill Coronavirus is a biological weapon used by Mongolia around the world! Coronavirus used by Mongolia in my home!	Rose80222065	Sun Nov 22 11:25:52 +0000 2020	[]	0.0	0.0008577745023204106	thehil coronaviru biolog weapon use mongolia around world coronaviru use mongolia home
12	coronavirus	1	13	@atrupar Vice Coronavirus can't get coronavirus	JohnCanvas1979	Sun Nov 22 11:17:35 +0000 2020	[]	0.0	0.0007213928517782854	atrupar vice coronaviru cant get coronaviru
13	coronavirus	15	14	Is the coronavirus taking a break as well?	ttham	Sun Nov 22 11:24:41 +0000 2020	[]	0.0	0.0006605494892696934	coronaviru take break well
14	coronavirus	36	15	@LUMOSLYDIA scissoring the coronavirus? i have so many questions?	LOV3LYMADI	Sun Nov 22 11:22:45 +0000 2020	[]	0.0	0.0006240894996832953	lumoslydia scissor coronaviru mani question
15	coronavirus	70	16	"“I can’t believe what you say because I see what you do.”

#coronavirus  #janaauskassel 

https://t.co/itpBqQIXBN"	AdemBdrByzd	Sun Nov 22 11:14:05 +0000 2020	['coronavirus', 'janaauskassel']	2.0	0.0005770155772125484	cant believ say see coronaviru janaauskassel
16	coronavirus	95	17	Everything We Know About The New 'Strengthened' Coronavirus Tier System https://t.co/9m7EwezADx	HuffPostAU	Sun Nov 22 11:20:50 +0000 2020	[]	0.0	0.0005204678976706734	everyth know new strengthen coronaviru tier system
17	coronavirus	16	18	Coronavirus situation in St Helens. https://t.co/dbzfumFhjq	bob_bellis	Sun Nov 22 11:24:01 +0000 2020	[]	0.0	0.000479424339144264	coronaviru situat st helen
18	coronavirus	47	19	"Coronavirus: Markets in Shimla to be closed on Sundays
https://t.co/brmLDeBnAs https://t.co/yDtuqa6W7Z"	sajidchef	Sun Nov 22 11:13:38 +0000 2020	[]	0.0	0.0004741751956239284	coronaviru market shimla close sunday
19	coronavirus	88	20	@DCI_Kenya I blame magoha and coronavirus for this nasty mess.	StamonjaMc	Sun Nov 22 10:55:59 +0000 2020	[]	0.0	0.0004544044014328176	dci_kenya blame magoha coronaviru nasti mess
0	realdonaldtrump	69	1	@realDonaldTrump And wherewith? With reason, because you absolutely failed and again you show your incompetence wit… https://t.co/MQDz7gmBhF	ComandanteDuro	Sun Nov 22 10:55:10 +0000 2020	[]	2.0	0.031422024254588184	realdonaldtrump wherewith reason absolut fail show incompet wit
1	realdonaldtrump	14	2	@ElephantWeIgnor @greta @realDonaldTrump What pandemic?? Get a grip.	Venus15931602	Sun Nov 22 11:26:47 +0000 2020	[]	0.0	0.0037648039175458923	elephantweignor greta realdonaldtrump pandem get grip
2	realdonaldtrump	13	3	@NunoMat61306207 @realDonaldTrump And the leader of this pandemic spreading	Bcd_bcd_1234	Sun Nov 22 10:58:54 +0000 2020	[]	2.0	0.0019218318090917467	nunomat61306207 realdonaldtrump leader pandem spread
3	realdonaldtrump	68	4	"@LesterHunt19 @DBDDeathClutch @509ShawnG @realDonaldTrump Don’t forget there’s also this

https://t.co/MP1dTgCxnv"	RecoveringInAZ	Sun Nov 22 10:57:47 +0000 2020	[]	1.0	0.0016128633216594029	lesterhunt19 dbddeathclutch 509shawng realdonaldtrump dont forget there also
4	realdonaldtrump	72	5	@realDonaldTrump Whaaat? In Britain we constantly see in the media how Covid is effecting the WORLD! What is this-'… https://t.co/0u0Fx63qXn	sculptsm	Sun Nov 22 11:24:02 +0000 2020	[]	2.0	0.0011193808969073246	realdonaldtrump whaaat britain constantli see media covid effect world
5	realdonaldtrump	79	6	"@realDonaldTrump Treat the Election like the Virus.

Ignore, Deny, Lie...

It's over Bud."	DrBennyBoomBots	Sun Nov 22 11:20:04 +0000 2020	[]	2.0	0.0008456903153275346	realdonaldtrump treat elect like viru ignor deni lie bud
6	realdonaldtrump	23	7	@realDonaldTrump Credit for the COVID vaccine is not currently a thing I worry about.	robertkirk	Sun Nov 22 11:23:19 +0000 2020	[]	2.0	0.0006936236826040485	realdonaldtrump credit covid vaccin current thing worri
7	realdonaldtrump	40	8	@realDonaldTrump Of course, and the reason Covid-19 exists is because of you too. It’s all your fault...we all know that. 🙄	fombaliah	Sun Nov 22 10:56:59 +0000 2020	[]	2.0	0.0006446188515459402	realdonaldtrump cours reason covid19 exist faultw know
8	realdonaldtrump	81	9	"@SpeakerPelosi @senatemajldr @realDonaldTrump @stevenmnuchin1 
WHY ARE YOU NOT HELPING THE AMERICAN PEOPLE??? I’M G… https://t.co/LiI1xNBJEg"	LoriYou03057072	Sun Nov 22 11:19:36 +0000 2020	[]	2.0	0.0006094294717146811	speakerpelosi senatemajldr realdonaldtrump stevenmnuchin1 help american peopl im g
9	realdonaldtrump	24	10	@realDonaldTrump @POTUS You blithering idiot.  Its not about what European Countries are experiencing.  Its about s… https://t.co/V1BCmCTiwE	Junkbond21	Sun Nov 22 11:22:55 +0000 2020	[]	0.0	0.0005302567768433471	realdonaldtrump potu blither idiot european countri experienc
10	realdonaldtrump	7	11	@realDonaldTrump It’s not because of you. You have FAILED to lead during this pandemic and that is why you are FIRED!	mariabendeck1	Sun Nov 22 11:18:31 +0000 2020	[]	2.0	0.0005259349157959139	realdonaldtrump fail lead pandem fire
11	realdonaldtrump	28	12	@realDonaldTrump G-20 meet to discuss the pandemic and where were you? Golfing... And you wonder why you are on you… https://t.co/6dDEIn4kaT	jsnake1952	Sun Nov 22 11:15:58 +0000 2020	[]	2.0	0.0005208987437323888	realdonaldtrump g20 meet discuss pandem golf wonder
12	realdonaldtrump	5	13	@KLoeffler and @DonaldJTrumpJr did @realDonaldTrump give you #covid19?	TraceyNew	Sun Nov 22 11:22:23 +0000 2020	['covid19']	2.0	0.00048635488246371575	kloeffler donaldjtrumpjr realdonaldtrump give covid19
13	realdonaldtrump	73	14	@DavMicRot @realDonaldTrump Relax David!!! COVID-19 disproportionately affects Pedophiles! Not children!	TSince1985	Sun Nov 22 11:23:48 +0000 2020	[]	0.0	0.0004749347647432363	davmicrot realdonaldtrump relax david covid19 disproportion affect pedophil children
14	realdonaldtrump	100	15	@jameswzegan85 @Trump4Life75 @BurgersAreYummy @doryowen @TomFitton @realDonaldTrump A lot of conspiracy theorists a… https://t.co/fNML8xkj94	MGC_Havk	Sun Nov 22 11:02:43 +0000 2020	[]	1.0	0.0004678400726697099	jameswzegan85 trump4life75 burgersareyummi doryowen tomfitton realdonaldtrump lot conspiraci theorist
15	realdonaldtrump	80	16	@realDonaldTrump is showing no leadership. He has somehow convinced his followers that Republicans, Democrats, judg… https://t.co/6ZkKW87uOX	boosh818	Sun Nov 22 11:19:51 +0000 2020	[]	0.0	0.00041296350535121354	realdonaldtrump show leadership somehow convinc follow republican democrat judg
16	realdonaldtrump	8	17	"But how much golf has @realDonaldTrump played?!
#UNFIT"	JimFullington	Sun Nov 22 11:17:14 +0000 2020	['UNFIT']	2.0	0.0003994801450322826	much golf realdonaldtrump play unfit
17	realdonaldtrump	45	18	@DPWIMM @realDonaldTrump I don’t think you can visit someone in the hospital who has COVID......	LonnieStevans	Sun Nov 22 11:19:32 +0000 2020	[]	2.0	0.0003172720805282734	dpwimm realdonaldtrump dont think visit someon hospit covid
18	realdonaldtrump	35	19	@KimStrassel @realDonaldTrump Our president is actively trying to spread this virus	crewman_6	Sun Nov 22 11:04:54 +0000 2020	[]	2.0	0.00026438205648841894	kimstrassel realdonaldtrump presid activ tri spread viru
19	realdonaldtrump	67	20	@realDonaldTrump Downplaying the virus and his mistakes again. When will this awful excuse for a human being finall… https://t.co/KxIkMipoEV	DianaMa61744696	Sun Nov 22 11:01:46 +0000 2020	[]	2.0	0.000222351443237102	realdonaldtrump downplay viru mistak aw excus human final
